cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00010,8800.0,2020-12-24,1,0.0,,8800.0,1934,[已隱蔽],,31.0
CUS_00500,8600.0,2022-05-27,1,0.0,,8600.0,1415,[已隱蔽],,31.0
CUS_00549,8530.0,2024-09-04,12,0.0,,8530.0,584,[已隱蔽],,31.0
CUS_00017,8500.0,2023-03-27,1,0.0,,8500.0,1111,[已隱蔽],,31.0
CUS_00496,8500.0,2021-09-17,1,0.0,,8500.0,1667,[已隱蔽],,31.0
CUS_00166,8500.0,2023-03-18,1,0.0,,8500.0,1120,[已隱蔽],,31.0
CUS_00681,8500.0,2023-02-01,2,0.0,,8500.0,1165,[已隱蔽],,31.0
CUS_00345,8499.0,2024-02-17,1,0.0,,8499.0,784,[已隱蔽],,31.0
CUS_00281,8400.0,2024-12-16,2,0.0,,8400.0,481,[已隱蔽],,31.0
CUS_00689,8400.0,2021-10-13,2,0.0,,8400.0,1641,[已隱蔽],,31.0
CUS_00419,8300.0,2024-09-26,1,0.0,,8300.0,562,[已隱蔽],,31.0
CUS_00550,8150.0,2022-05-30,2,0.0,,8150.0,1412,[已隱蔽],,31.0
CUS_00641,8000.0,2024-09-27,1,0.0,,8000.0,561,[已隱蔽],,31.0
CUS_00273,8000.0,2022-02-21,1,0.0,,8000.0,1510,[已隱蔽],,31.0
CUS_00429,8000.0,2024-10-02,1,0.0,,8000.0,556,[已隱蔽],,31.0
CUS_00219,8000.0,2024-03-09,3,0.0,,8000.0,763,[已隱蔽],,31.0
CUS_00323,8000.0,2022-01-08,1,0.0,,8000.0,1554,[已隱蔽],,31.0
CUS_00342,7950.0,2022-03-31,3,0.0,,7950.0,1472,[已隱蔽],,31.0
CUS_00462,7800.0,2020-12-22,1,0.0,,7800.0,1936,[已隱蔽],,31.0
CUS_00699,7800.0,2024-04-13,3,0.0,,7800.0,728,[已隱蔽],,31.0
CUS_00008,7800.0,2021-11-14,2,0.0,,7800.0,1609,[已隱蔽],,31.0
CUS_00360,7750.0,2025-02-20,2,0.0,,7750.0,415,[已隱蔽],,31.0
CUS_00376,7750.0,2023-01-20,4,0.0,,7750.0,1177,[已隱蔽],,31.0
CUS_00305,7700.0,2023-02-23,1,0.0,,7700.0,1143,[已隱蔽],,31.0
CUS_00513,7700.0,2022-11-12,1,0.0,,7700.0,1246,[已隱蔽],,31.0
CUS_00328,7500.0,2022-03-29,1,0.0,,7500.0,1474,[已隱蔽],,31.0
CUS_00221,7500.0,2024-11-15,3,0.0,,7500.0,512,[已隱蔽],,31.0
CUS_00241,7500.0,2024-04-29,1,0.0,,7500.0,712,[已隱蔽],,31.0
CUS_00257,7500.0,2023-08-07,2,0.0,,7500.0,978,[已隱蔽],,31.0
CUS_00449,7500.0,2024-11-05,1,0.0,,7500.0,522,[已隱蔽],,31.0
CUS_00643,7500.0,2024-11-22,1,0.0,,7500.0,505,[已隱蔽],,31.0
CUS_00103,7500.0,2024-07-25,1,0.0,,7500.0,625,[已隱蔽],,31.0
CUS_00386,7500.0,2024-03-04,1,0.0,,7500.0,768,[已隱蔽],,31.0
CUS_00362,7500.0,2023-10-23,1,0.0,,7500.0,901,[已隱蔽],,31.0
CUS_00497,7450.0,2023-12-07,1,0.0,,7450.0,856,                                                            ,,31.0
CUS_00337,7350.0,2021-01-15,1,0.0,,7350.0,1912,[已隱蔽],,31.0
CUS_00269,7300.0,2024-07-01,1,0.0,,7300.0,649,[已隱蔽],,31.0
CUS_00522,7200.0,2024-07-13,1,0.0,,7200.0,637,[已隱蔽],,31.0
CUS_00120,7150.0,2023-07-20,2,0.0,,7150.0,996,[已隱蔽],,31.0
CUS_00196,7100.0,2022-12-31,2,0.0,,7100.0,1197,[已隱蔽],,31.0
